model,macro_f1,n_rows,reviewed_rows,pending_rows,pseudo_rows,mechanism,f1,auroc,f1_access,f1_enforcement,f1_price,auroc_access,auroc_enforcement,auroc_price,selected_model
tfidf_semisupervised_ffn,0.9622175141242938,250.0,250.0,0.0,317.0,,,,0.9491525423728814,1.0,0.9375,0.9866891472180319,1.0,0.9717243120424134,True
tfidf_logistic,0.8464445976511,250.0,250.0,0.0,317.0,,,,0.8503937007874016,0.7857142857142857,0.9032258064516129,0.9716035140651345,0.9927884615384616,0.8682150971976773,False
legal_bert_ffn,0.8014209638300116,250.0,250.0,0.0,317.0,,,,0.7706422018348624,0.7586206896551724,0.875,0.9386813381843997,0.9305555555555556,0.9373895480939157,False
legal_bert_bigru,0.7962632864593648,250.0,250.0,0.0,317.0,,,,0.7254901960784313,0.8148148148148148,0.8484848484848485,0.9220871417162125,0.9863782051282052,0.9237566271143651,False
distilgpt2_linear,0.7349473684210525,250.0,250.0,0.0,317.0,,,,0.768,0.7,0.7368421052631579,0.8968852604490195,0.9810363247863247,0.8730118656904822,False
keyword_baseline,0.19444444444444445,250.0,250.0,0.0,317.0,,,,0.0,0.0,0.5833333333333334,1.0,1.0,1.0,False
