model,val_rmse,test_rmse,test_mae,test_r2,n_train,n_val,n_test
RandomForestRegressor,0.8641723331867291,0.8625833035303024,0.6583300610602542,0.4543791741639211,714,153,153
HistGradientBoostingRegressor,1.4870411285015075,1.0663632296432568,0.7462508185165887,0.1661284321533864,714,153,153
MLPRegressor,1.2343952454205078,1.1876229736953512,0.860720796033539,-0.0342988069713077,714,153,153
NovelResidualTextModelV3,1.6572532352107747,1.701313938803719,1.1350331255140371,-1.1225491903934337,714,153,153
ElasticNet,1.1732901554778512,1.785912634702839,1.4315987787540634,-1.3388871240995206,714,153,153
